application_id,annual_income,cibil_score,foir_ratio,employment_years,loan_amount,loan_to_value,social_category,religion,gender,age,pin_code,approval_probability,approved
APP-04728,589296.0,694.0,0.547,1.3,374776.0,0.535,General,Sikh,Male,34.0,560103,0.581,1
APP-02317,865764.0,693.0,0.202,12.3,643164.0,0.788,OBC,Hindu,Female,46.0,110002,0.6696,1
APP-03670,1070833.0,690.0,0.398,7.0,1787989.0,0.708,General,Hindu,Female,25.0,400001,0.7662,1
APP-01213,911213.0,611.0,0.504,8.3,631724.0,0.818,SC,Hindu,Female,33.0,110001,0.2248,0
APP-03033,540774.0,721.0,0.487,11.5,381403.0,0.668,SC,Hindu,Male,39.0,110002,0.5168,0
APP-03249,1546778.0,660.0,0.379,5.6,1842074.0,0.716,SC,Hindu,Female,40.0,380015,0.6503,1
APP-04245,1117469.0,692.0,0.367,3.9,1061192.0,0.56,ST,Christian,Female,35.0,600001,0.6863,1
APP-01770,3000000.0,682.0,0.311,6.8,5321527.0,0.533,ST,Hindu,Male,32.0,700091,0.8257,1
APP-02595,447494.0,709.0,0.55,15.9,200000.0,0.415,ST,Hindu,Female,21.0,500001,0.5747,1
APP-01558,1470741.0,624.0,0.252,10.1,2088347.0,0.68,OBC,Muslim,Female,37.0,110004,0.556,1
APP-00297,1159509.0,719.0,0.314,2.1,875642.0,0.577,OBC,Muslim,Female,43.0,411001,0.7736,0
APP-00200,921529.0,660.0,0.456,2.3,1655711.0,0.533,ST,Hindu,Male,38.0,302001,0.5696,1
APP-01906,559643.0,722.0,0.474,9.6,610023.0,0.592,General,Hindu,Male,23.0,110003,0.6339,1
APP-02025,513381.0,653.0,0.643,4.3,478775.0,0.88,OBC,Hindu,Female,31.0,400001,0.1781,0
APP-03615,400000.0,699.0,0.474,8.2,652472.0,0.702,OBC,Hindu,Male,36.0,110003,0.4195,1
APP-04067,662289.0,774.0,0.443,7.0,818709.0,0.711,OBC,Hindu,Female,42.0,380001,0.8383,0
APP-03104,1692695.0,620.0,0.303,21.6,2686829.0,0.891,SC,Hindu,Female,51.0,411001,0.6469,0
APP-01944,400000.0,788.0,0.538,15.6,617264.0,0.464,OBC,Hindu,Female,51.0,500081,0.837,0
APP-02727,636097.0,842.0,0.45,1.4,268263.0,0.481,OBC,Hindu,Male,42.0,400001,0.9725,1
APP-01700,1107180.0,843.0,0.559,5.8,1418417.0,0.417,ST,Muslim,Female,26.0,560001,0.7025,1
APP-00030,1240371.0,733.0,0.518,4.8,1151987.0,0.821,OBC,Hindu,Female,31.0,380015,0.8065,1
APP-02212,1631978.0,630.0,0.527,22.9,583814.0,0.412,General,Muslim,Female,38.0,110003,0.5915,1
APP-02068,983961.0,764.0,0.411,9.9,1144610.0,0.466,General,Muslim,Male,21.0,411001,0.8674,1
APP-03167,645307.0,707.0,0.276,3.1,660475.0,0.661,ST,Hindu,Female,36.0,560103,0.6358,1
APP-04249,730767.0,624.0,0.256,7.9,983458.0,0.824,OBC,Sikh,Male,29.0,411001,0.5103,1
APP-00721,953049.0,689.0,0.619,7.4,1484962.0,0.566,General,Hindu,Female,26.0,110002,0.5444,0
APP-00249,3000000.0,738.0,0.645,3.3,4268805.0,0.459,OBC,Hindu,Male,28.0,411045,0.97,1
APP-01520,400000.0,877.0,0.358,5.5,256061.0,0.635,General,Hindu,Male,22.0,400001,0.9757,1
APP-00423,742895.0,611.0,0.336,14.0,1109709.0,0.8,SC,Muslim,Male,38.0,302001,0.3555,1
APP-02073,400000.0,749.0,0.428,13.0,225316.0,0.613,ST,Muslim,Male,24.0,110002,0.5093,1
APP-00585,1429319.0,652.0,0.535,11.6,2568704.0,0.719,SC,Hindu,Male,45.0,400050,0.6222,1
APP-04878,1335358.0,744.0,0.6,11.3,1582735.0,0.697,ST,Hindu,Male,35.0,500081,0.7799,1
APP-01398,912790.0,761.0,0.307,13.9,1759541.0,0.846,General,Hindu,Female,60.0,400050,0.7767,1
APP-02896,545966.0,763.0,0.573,4.5,670790.0,0.404,General,Hindu,Male,26.0,560103,0.8529,1
APP-01865,1155973.0,685.0,0.375,5.9,1348808.0,0.663,OBC,Hindu,Female,21.0,380001,0.7835,0
APP-01653,1307541.0,676.0,0.546,21.7,1693340.0,0.429,General,Hindu,Male,44.0,302001,0.9004,1
APP-04784,1169508.0,793.0,0.455,10.8,1152386.0,0.831,OBC,Muslim,Female,36.0,600042,0.8076,1
APP-00658,1092751.0,796.0,0.389,2.0,392172.0,0.481,OBC,Muslim,Female,33.0,500001,0.8178,1
APP-02146,706712.0,749.0,0.479,2.8,944106.0,0.593,OBC,Hindu,Female,45.0,110001,0.6526,1
APP-02487,1055012.0,680.0,0.641,11.2,1597607.0,0.729,OBC,Hindu,Female,41.0,110005,0.5078,0
APP-03568,551468.0,874.0,0.434,10.4,1005716.0,0.888,OBC,Hindu,Male,45.0,500001,0.9739,1
APP-00024,925645.0,742.0,0.2,12.0,1441619.0,0.801,General,Hindu,Male,37.0,110004,0.779,1
APP-00066,1486871.0,813.0,0.611,1.7,2802094.0,0.777,General,Hindu,Male,32.0,110004,0.79,1
APP-04120,692956.0,706.0,0.417,21.7,226669.0,0.412,ST,Hindu,Female,48.0,560103,0.7147,1
APP-03154,935182.0,638.0,0.552,10.0,501194.0,0.67,SC,Hindu,Female,56.0,400050,0.4114,0
APP-01515,431209.0,719.0,0.408,5.4,776260.0,0.555,OBC,Hindu,Male,41.0,411001,0.7088,0
APP-02489,1991460.0,721.0,0.216,11.8,2407375.0,0.642,SC,Hindu,Female,21.0,560001,0.7753,1
APP-00965,982352.0,802.0,0.283,4.8,832828.0,0.571,General,Muslim,Female,33.0,110001,0.6739,0
APP-00229,652710.0,680.0,0.391,10.4,657820.0,0.667,General,Muslim,Male,33.0,110004,0.5169,1
APP-00634,400000.0,819.0,0.437,4.3,319149.0,0.6,OBC,Hindu,Male,32.0,110003,0.7513,1
APP-00808,536814.0,642.0,0.218,26.8,376098.0,0.745,General,Hindu,Female,50.0,600042,0.6666,0
APP-04654,799290.0,710.0,0.398,4.3,1369930.0,0.802,OBC,Hindu,Male,37.0,380015,0.7674,1
APP-04307,1138607.0,707.0,0.246,6.7,1643505.0,0.837,OBC,Hindu,Male,36.0,500001,0.8992,1
APP-03607,438722.0,755.0,0.343,5.6,796601.0,0.755,OBC,Hindu,Female,35.0,400050,0.7506,1
APP-00241,645048.0,779.0,0.334,6.5,234560.0,0.856,SC,Hindu,Female,31.0,700001,0.7206,1
APP-00180,1153630.0,551.0,0.31,3.2,1634920.0,0.638,OBC,Hindu,Female,21.0,500081,0.3214,0
APP-04512,918814.0,709.0,0.212,19.2,1313193.0,0.734,OBC,Hindu,Male,38.0,500001,0.9369,1
APP-01375,987925.0,827.0,0.399,28.1,725016.0,0.512,General,Hindu,Female,24.0,110001,0.7581,0
APP-01540,2134397.0,726.0,0.253,8.7,3105482.0,0.883,OBC,Hindu,Female,37.0,110005,0.7392,0
APP-02012,2431702.0,735.0,0.485,13.1,4489421.0,0.441,OBC,Hindu,Male,24.0,110001,0.8059,1
APP-03241,1745131.0,616.0,0.573,25.4,906228.0,0.687,General,Hindu,Female,44.0,600001,0.7033,1
APP-04266,787571.0,673.0,0.365,11.5,577195.0,0.77,ST,Other,Female,30.0,700091,0.5691,1
APP-00085,549954.0,688.0,0.221,4.0,300732.0,0.42,ST,Hindu,Male,53.0,700091,0.6913,1
APP-01903,1351842.0,770.0,0.374,2.1,1451307.0,0.646,General,Hindu,Female,36.0,110002,0.7368,1
APP-03335,1028501.0,664.0,0.473,10.4,446811.0,0.581,OBC,Other,Female,39.0,380015,0.703,1
APP-04162,514805.0,782.0,0.549,3.1,988505.0,0.424,SC,Hindu,Male,33.0,380001,0.7489,1
APP-02427,2867505.0,568.0,0.525,11.1,5495840.0,0.622,OBC,Muslim,Male,34.0,400050,0.6006,1
APP-01715,602696.0,673.0,0.382,8.9,483014.0,0.876,OBC,Christian,Male,43.0,110005,0.4496,0
APP-04201,667277.0,585.0,0.532,13.4,385161.0,0.542,OBC,Hindu,Male,29.0,110003,0.2261,0
APP-04845,978627.0,701.0,0.376,10.9,939249.0,0.897,General,Hindu,Male,48.0,380015,0.8169,1
APP-02701,1535115.0,688.0,0.481,4.0,2595674.0,0.664,OBC,Hindu,Female,21.0,700001,0.7911,1
APP-01346,3000000.0,900.0,0.563,12.4,3680282.0,0.538,SC,Hindu,Male,44.0,560001,0.8492,1
APP-03789,2436624.0,672.0,0.563,11.4,2580819.0,0.811,General,Muslim,Male,45.0,560103,0.7838,1
APP-02415,1741915.0,609.0,0.341,3.2,2126690.0,0.587,SC,Hindu,Male,37.0,110002,0.5144,1
APP-00556,857665.0,623.0,0.272,20.1,720365.0,0.72,General,Sikh,Female,35.0,110003,0.5401,1
APP-02548,2746479.0,742.0,0.277,3.7,5031330.0,0.75,OBC,Hindu,Female,21.0,411045,0.9147,1
APP-01627,400000.0,699.0,0.554,6.4,725966.0,0.716,OBC,Hindu,Male,21.0,380015,0.4239,1
APP-04367,1251265.0,652.0,0.433,5.3,1717963.0,0.814,OBC,Muslim,Male,28.0,560103,0.6031,1
APP-03923,576482.0,603.0,0.586,12.2,1011151.0,0.452,SC,Hindu,Male,21.0,110001,0.1995,0
APP-00417,1723934.0,743.0,0.292,2.3,1856617.0,0.537,General,Hindu,Female,22.0,302001,0.9073,1
APP-00813,1134784.0,677.0,0.563,8.5,1668008.0,0.692,General,Hindu,Female,25.0,700091,0.671,1
APP-01259,2386491.0,632.0,0.365,19.1,4288254.0,0.51,OBC,Hindu,Male,56.0,600042,0.9326,1
APP-01745,1398799.0,744.0,0.362,8.3,2273036.0,0.81,OBC,Muslim,Female,25.0,600042,0.794,1
APP-00878,895401.0,708.0,0.253,4.4,1649370.0,0.531,General,Hindu,Male,46.0,500001,0.9075,1
APP-02772,1334230.0,724.0,0.529,2.7,572725.0,0.546,ST,Hindu,Male,33.0,411045,0.7649,0
APP-01236,672830.0,688.0,0.599,3.7,1297783.0,0.602,OBC,Muslim,Female,38.0,700091,0.4653,0
APP-00953,1269680.0,692.0,0.256,5.5,598322.0,0.607,OBC,Hindu,Female,48.0,380015,0.8534,1
APP-02571,3000000.0,731.0,0.406,9.1,2657511.0,0.814,General,Hindu,Male,39.0,500001,0.976,1
APP-03314,1071556.0,723.0,0.552,5.6,591604.0,0.574,ST,Hindu,Male,48.0,110005,0.6016,0
APP-01655,888498.0,716.0,0.279,6.0,586957.0,0.576,OBC,Hindu,Male,30.0,700091,0.9103,1
APP-00502,1564541.0,670.0,0.25,22.8,1740746.0,0.501,SC,Hindu,Female,29.0,110003,0.6234,0
APP-04246,986613.0,652.0,0.519,12.1,1278072.0,0.636,OBC,Hindu,Male,38.0,380015,0.6614,1
APP-04488,591431.0,605.0,0.554,8.9,1090680.0,0.41,General,Hindu,Female,22.0,380015,0.2897,0
APP-01118,834740.0,647.0,0.464,9.6,491454.0,0.705,General,Hindu,Female,39.0,400050,0.5294,1
APP-01836,1044963.0,713.0,0.43,13.7,1221925.0,0.441,OBC,Hindu,Male,33.0,400001,0.9292,1
APP-01535,2730208.0,565.0,0.515,16.4,4758234.0,0.769,OBC,Hindu,Female,40.0,700001,0.589,0
APP-00912,1219592.0,838.0,0.278,4.9,1827882.0,0.859,ST,Hindu,Female,45.0,302001,0.7816,0
APP-03889,877172.0,671.0,0.353,7.5,1432162.0,0.675,General,Hindu,Female,39.0,110005,0.5748,0
APP-04607,589230.0,790.0,0.226,5.4,288609.0,0.845,General,Hindu,Female,33.0,302001,0.8725,1
APP-03264,2238834.0,820.0,0.558,8.7,3502634.0,0.671,SC,Hindu,Female,39.0,500081,0.783,1
APP-02466,679062.0,792.0,0.3,4.5,829245.0,0.635,SC,Hindu,Male,30.0,380001,0.8125,1
APP-04344,784742.0,671.0,0.643,7.6,1051566.0,0.739,OBC,Hindu,Male,45.0,500001,0.4781,1
APP-01392,2093206.0,869.0,0.637,13.6,2272329.0,0.616,OBC,Hindu,Male,46.0,110003,0.8166,1
APP-04309,1183083.0,767.0,0.42,12.7,2230982.0,0.649,OBC,Hindu,Male,28.0,110004,0.7927,1
APP-00970,1017457.0,900.0,0.619,5.2,1163543.0,0.784,General,Hindu,Female,31.0,500001,0.9187,1
APP-02649,1156736.0,696.0,0.618,2.7,2113850.0,0.81,OBC,Hindu,Male,53.0,110003,0.5495,1
APP-01878,2470591.0,834.0,0.271,7.1,1685420.0,0.511,OBC,Hindu,Female,24.0,500081,0.9281,1
APP-03616,1538610.0,697.0,0.633,6.4,2586070.0,0.755,OBC,Hindu,Male,37.0,560001,0.7948,1
APP-00152,595814.0,711.0,0.577,12.0,789868.0,0.501,OBC,Hindu,Female,43.0,700091,0.6886,0
APP-00298,830309.0,675.0,0.403,3.9,562596.0,0.727,SC,Hindu,Male,38.0,380015,0.5702,1
APP-03765,968000.0,651.0,0.538,6.6,1456369.0,0.699,General,Hindu,Male,36.0,380015,0.5569,0
APP-04136,737454.0,645.0,0.288,10.3,445856.0,0.873,OBC,Muslim,Female,40.0,110004,0.4018,1
APP-00394,1258214.0,663.0,0.637,10.6,2041372.0,0.856,OBC,Hindu,Female,38.0,500081,0.5573,0
APP-02396,559943.0,656.0,0.547,1.2,696506.0,0.641,SC,Muslim,Male,34.0,380001,0.2639,0
APP-02789,749500.0,728.0,0.537,7.2,892670.0,0.535,SC,Hindu,Male,39.0,560001,0.7047,0
APP-00578,1866332.0,747.0,0.336,3.0,2370557.0,0.552,SC,Hindu,Male,51.0,400001,0.8303,1
APP-04605,943804.0,753.0,0.57,3.1,1863059.0,0.874,OBC,Hindu,Female,29.0,110001,0.6238,0
APP-04472,687214.0,688.0,0.417,8.9,1356487.0,0.686,SC,Hindu,Female,59.0,411001,0.5613,1
APP-00351,1202230.0,739.0,0.309,10.6,761380.0,0.591,General,Hindu,Male,21.0,560103,0.9628,1
APP-04702,782762.0,703.0,0.594,4.9,1158950.0,0.601,General,Hindu,Male,31.0,302001,0.6883,1
APP-02198,1007061.0,702.0,0.433,6.7,756691.0,0.742,OBC,Hindu,Female,46.0,400001,0.7583,0
APP-02654,661395.0,674.0,0.559,10.7,238750.0,0.619,General,Hindu,Male,34.0,560103,0.5792,0
APP-00469,1738455.0,807.0,0.647,24.1,2156362.0,0.446,ST,Hindu,Male,58.0,110004,0.6912,1
APP-03214,598943.0,668.0,0.473,2.1,804033.0,0.747,SC,Hindu,Male,36.0,110003,0.3072,0
APP-03015,1638242.0,666.0,0.441,25.0,785944.0,0.607,OBC,Other,Male,32.0,500081,0.9245,1
APP-01175,958462.0,842.0,0.484,5.3,345818.0,0.858,OBC,Muslim,Female,34.0,380015,0.8136,0
APP-00080,856695.0,713.0,0.359,3.9,468967.0,0.63,General,Hindu,Male,42.0,400050,0.8546,1
APP-00587,555266.0,811.0,0.409,1.6,362168.0,0.809,ST,Hindu,Female,53.0,500001,0.7212,1
APP-00231,481080.0,738.0,0.477,18.1,200000.0,0.544,ST,Hindu,Female,34.0,380015,0.6693,1
APP-03130,1203042.0,648.0,0.643,12.7,1481673.0,0.643,General,Hindu,Male,32.0,380015,0.6244,1
APP-04952,660400.0,758.0,0.248,5.3,580664.0,0.666,SC,Hindu,Female,45.0,380015,0.7334,1
APP-00539,400000.0,771.0,0.519,16.0,392636.0,0.567,General,Hindu,Female,33.0,380015,0.7955,1
APP-00169,924669.0,710.0,0.287,5.1,292026.0,0.656,OBC,Hindu,Female,32.0,700001,0.8251,1
APP-00590,2237945.0,725.0,0.312,0.7,4124917.0,0.435,OBC,Hindu,Male,49.0,400050,0.9782,1
APP-04622,979259.0,759.0,0.403,13.9,1148917.0,0.541,SC,Hindu,Male,47.0,380001,0.8178,1
APP-01362,1581155.0,647.0,0.394,4.8,691899.0,0.741,General,Hindu,Male,58.0,110001,0.6308,1
APP-00600,411691.0,787.0,0.636,9.8,200000.0,0.43,SC,Hindu,Female,27.0,560103,0.6723,1
APP-03277,1616958.0,753.0,0.493,18.9,1934215.0,0.614,OBC,Hindu,Female,38.0,500081,0.9066,0
APP-04886,839972.0,719.0,0.241,8.9,322878.0,0.634,General,Hindu,Male,46.0,700001,0.9185,1
APP-04900,800243.0,823.0,0.558,3.3,584507.0,0.544,ST,Hindu,Female,38.0,380001,0.7589,1
APP-00009,991635.0,673.0,0.39,18.6,1658978.0,0.863,OBC,Hindu,Male,35.0,600042,0.7902,1
APP-02883,1456727.0,633.0,0.421,13.3,1646291.0,0.825,SC,Hindu,Female,33.0,700091,0.5664,0
APP-00415,867238.0,732.0,0.627,7.6,1168909.0,0.75,General,Hindu,Female,25.0,600042,0.7167,1
APP-02828,2617574.0,739.0,0.399,7.2,2864538.0,0.48,OBC,Hindu,Female,28.0,700091,0.9162,1
APP-00145,665997.0,672.0,0.34,8.6,498640.0,0.727,General,Hindu,Male,43.0,110002,0.5508,1
APP-00625,1265628.0,703.0,0.319,8.3,390836.0,0.847,SC,Hindu,Female,53.0,411045,0.7032,1
APP-00554,2766372.0,722.0,0.576,6.8,4961271.0,0.615,ST,Hindu,Male,27.0,560001,0.8148,1
APP-00534,1253785.0,664.0,0.475,4.5,650616.0,0.606,SC,Muslim,Male,36.0,110005,0.4753,0
APP-01116,1040285.0,786.0,0.302,3.9,1013933.0,0.565,ST,Hindu,Male,21.0,110003,0.6802,0
APP-03413,1066844.0,693.0,0.205,3.1,646390.0,0.543,General,Hindu,Male,53.0,380015,0.913,1
APP-03872,598578.0,745.0,0.469,1.8,1082304.0,0.559,OBC,Hindu,Male,39.0,400050,0.8193,1
APP-03787,848152.0,743.0,0.47,10.6,1143976.0,0.898,OBC,Hindu,Female,28.0,110005,0.6484,1
APP-00777,578836.0,646.0,0.448,19.3,871728.0,0.599,OBC,Hindu,Female,31.0,560001,0.5436,0
APP-00843,2403307.0,721.0,0.433,18.1,2674004.0,0.622,ST,Hindu,Female,39.0,700091,0.7734,1
APP-04557,1197045.0,701.0,0.286,5.8,2200675.0,0.551,General,Hindu,Female,53.0,411045,0.8597,1
APP-03012,838097.0,662.0,0.389,6.4,1358058.0,0.863,OBC,Hindu,Male,27.0,500001,0.5957,0
APP-02686,1073135.0,791.0,0.341,5.0,1333366.0,0.684,ST,Hindu,Female,36.0,110001,0.63,0
APP-03378,869697.0,845.0,0.228,12.4,660752.0,0.776,SC,Muslim,Female,37.0,110002,0.5782,0
APP-00374,1523347.0,648.0,0.574,9.1,2529258.0,0.649,SC,Hindu,Male,39.0,380001,0.6092,0
APP-01045,683067.0,610.0,0.533,7.7,1145101.0,0.779,General,Muslim,Female,37.0,110004,0.1676,0
APP-04988,732127.0,648.0,0.315,10.2,861244.0,0.482,SC,Hindu,Female,38.0,411001,0.5783,1
APP-01019,845002.0,725.0,0.341,17.9,929652.0,0.726,OBC,Hindu,Female,32.0,560001,0.8537,1
APP-01841,745530.0,700.0,0.343,8.4,917421.0,0.734,SC,Sikh,Male,21.0,700091,0.6775,0
APP-04241,1015689.0,679.0,0.22,7.0,903249.0,0.548,OBC,Hindu,Female,25.0,700091,0.8303,1
APP-03593,2460822.0,562.0,0.452,2.5,2741708.0,0.651,OBC,Hindu,Male,29.0,560001,0.5483,1
